battle_id,thread_text,A_text,B_text,human_A_humor,human_A_punch,human_A_originality,human_A_relevance,human_B_humor,human_B_punch,human_B_originality,human_B_relevance,derived_overall_A,derived_overall_B
bb_000516,"A: Your argument is a PDF that won’t scrollyet you act like it’s revolutionary.
A: Honestly, your timing is like a Monday morning meetingand the bar was already low.
B: Not gonna lie, your attention span feels like a Monday morning meetingand the results are tragic. This is less a plan and more a wish with formatting.",Your confidence is a calendar invite with no agendalike it’s competing for worst-in-class.,"Not gonna lie, your attention span feels like a Monday morning meetingand the results are tragic. This is less a plan and more a wish with formatting.",78.7,63.0,78.7,54.9,95.1,77.5,90.7,100.0,70.4,89.5
bb_000517,"A: Respectfully, your attention span is like a loading spinner with commitment issuesand it shows.
B: Respectfully, your logic feels like a phone at 1% batteryand I still expected more. Even autocorrect gave up on you.
A: Your take is a Monday morning meetingand the effort is… symbolic.",Your take is a Monday morning meetingand the effort is… symbolic.,"Respectfully, your logic feels like a phone at 1% batteryand I still expected more. Even autocorrect gave up on you.",76.6,75.7,73.5,92.9,91.5,59.0,92.3,88.7,78.0,81.5
bb_000518,"A: Listen, your argument feels like a PDF that won’t scrolland it’s not even close. You’re the reason ‘edge case’ has feelings.
A: Your argument is a router that needs therapywith extra confidence, zero output.
B: Respectfully, your execution is like a CAPTCHA that fails twicelike it’s competing for worst-in-class.
B: Your timing is a Monday morning meetingand the effort is… symbolic.","Your argument is a router that needs therapywith extra confidence, zero output.",Your timing is a Monday morning meetingand the effort is… symbolic.,94.8,96.7,90.2,94.3,76.7,83.2,85.2,86.6,94.1,82.2
bb_000519,"A: Your take is a CAPTCHA that fails twiceand it shows.
B: Not gonna lie, your take feels like a calendar invite with no agendaand it’s not even close. Even autocorrect gave up on you.
B: Your argument is a CAPTCHA that fails twiceand that’s saying something.","Listen, that comeback is like a calendar invite with no agendaand the effort is… symbolic.",Your argument is a CAPTCHA that fails twiceand that’s saying something.,77.5,85.6,73.4,78.2,71.2,65.4,90.6,100.0,79.0,78.6
bb_000520,"A: Not gonna lie, your execution feels like a Monday morning meetingand the results are tragic. If confusion was a sport, you’d be on scholarship.
B: Listen, your planning feels like a router that needs therapywith extra confidence, zero output. You’re the reason ‘edge case’ has feelings.
A: Listen, that comeback feels like an unskippable adand I still expected more. Even autocorrect gave up on you.
B: Your timing is a phone at 1% batteryand it shows.","Listen, that comeback feels like an unskippable adand I still expected more. Even autocorrect gave up on you.",Your timing is a phone at 1% batteryand it shows.,82.9,61.1,94.7,96.8,57.8,58.3,84.5,93.6,81.4,70.0
bb_000521,"A: Look, that comeback is like a buffering video at 144pand it shows.
B: Honestly, your logic is like a calendar invite with no agendaand that’s saying something.
A: Respectfully, your vibe is like a loading spinner with commitment issuesand the bar was already low.",Your confidence is a Monday morning meetingand the bar was already low.,"Honestly, your timing feels like an unskippable adbut somehow louder. Even autocorrect gave up on you.",83.4,90.8,91.2,62.1,88.3,64.9,98.3,38.0,84.4,76.2
bb_000522,"A: Not gonna lie, your argument is like a loading spinner with commitment issuesand the plot is missing.
B: Okay but, your logic is like a CAPTCHA that fails twicebut somehow louder.
A: Your timing is a screenshot of a screenshotand I still expected more.
B: Listen, your logic feels like an Excel sheet with merged cellsand the bar was already low. This is less a plan and more a wish with formatting.",Your timing is a screenshot of a screenshotand I still expected more.,"Listen, your logic feels like an Excel sheet with merged cellsand the bar was already low. This is less a plan and more a wish with formatting.",73.0,62.4,77.6,82.3,94.2,77.5,87.3,100.0,72.4,88.3
bb_000523,"A: Honestly, your execution is like a screenshot of a screenshotwith extra confidence, zero output.
A: Respectfully, your vibe is like a calendar invite with no agendaand the effort is… symbolic.
B: Your execution is a loading spinner with commitment issuesand the results are tragic.
B: Respectfully, your take feels like a phone at 1% batterylike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.",Your planning is a buffering video at 144pand it’s not even close.,"Respectfully, your take feels like a phone at 1% batterylike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.",69.3,79.8,83.6,51.0,70.1,55.2,77.9,94.4,73.3,71.2
bb_000524,"A: Your attention span is a screenshot of a screenshotand that’s saying something.
B: Your logic is a group project with no leaderand the results are tragic.
A: Your argument is a calendar invite with no agendaand I still expected more.",Your argument is a calendar invite with no agendaand I still expected more.,Your vibe is a calendar invite with no agendabut somehow louder.,75.6,65.2,89.3,94.5,72.3,54.8,77.6,60.4,78.7,66.6
bb_000525,"A: Honestly, your take feels like a Monday morning meetingand that’s saying something. If confusion was a sport, you’d be on scholarship.
B: Honestly, your confidence feels like a group project with no leaderand the bar was already low. I’ve seen stronger arguments in fortune cookies.",Your execution is a calendar invite with no agendabut somehow louder.,"Honestly, your confidence feels like a group project with no leaderand the bar was already low. I’ve seen stronger arguments in fortune cookies.",60.6,69.1,86.0,57.1,94.2,77.4,100.0,83.6,69.0,89.0
bb_000526,"A: Okay but, your timing is like a calendar invite with no agendabut somehow louder.
B: Your planning is a phone at 1% batterywith extra confidence, zero output.
B: Your logic is a group project with no leaderyet you act like it’s revolutionary.
A: Honestly, that comeback is like a PDF that won’t scrollwith extra confidence, zero output.","Honestly, that comeback is like a PDF that won’t scrollwith extra confidence, zero output.",Your logic is a group project with no leaderyet you act like it’s revolutionary.,80.1,82.0,78.6,97.9,72.1,63.7,86.0,81.7,83.0,74.5
bb_000527,"A: Your vibe is a PDF that won’t scrolland that’s saying something.
B: Your logic is a buffering video at 144pand the results are tragic.
A: Listen, your confidence feels like a group project with no leaderand the plot is missing. I’ve seen stronger arguments in fortune cookies.
B: That comeback is a PDF that won’t scrollyet you act like it’s revolutionary.","Listen, your confidence feels like a group project with no leaderand the plot is missing. I’ve seen stronger arguments in fortune cookies.",That comeback is a PDF that won’t scrollyet you act like it’s revolutionary.,100.0,79.8,100.0,98.5,73.2,65.5,75.8,99.5,93.7,75.5
bb_000528,"A: Your argument is an unskippable adwith extra confidence, zero output.
B: Okay but, your attention span feels like a router that needs therapyand it shows. Your confidence is impressive; your accuracy is not.
A: Look, your take is like a buffering video at 144pand the plot is missing.
B: Listen, your argument feels like a group project with no leaderwith extra confidence, zero output. I’d explain it, but I left my crayons at home.","Look, your take is like a buffering video at 144pand the plot is missing.","Listen, your argument feels like a group project with no leaderwith extra confidence, zero output. I’d explain it, but I left my crayons at home.",83.6,89.6,87.8,100.0,94.6,79.2,92.2,100.0,88.9,90.2
bb_000529,"A: Honestly, your timing feels like a Monday morning meetingand the plot is missing. I’d explain it, but I left my crayons at home.
B: Not gonna lie, your vibe is like a router that needs therapywith extra confidence, zero output.
A: Your attention span is a screenshot of a screenshotand it shows.",Your attention span is a screenshot of a screenshotand it shows.,"Not gonna lie, your vibe is like a router that needs therapywith extra confidence, zero output.",56.5,57.2,81.2,84.7,100.0,90.6,97.4,91.3,67.1,95.2
bb_000530,"A: Your attention span is a calendar invite with no agendaand the results are tragic.
B: Honestly, that comeback feels like a CAPTCHA that fails twiceand the bar was already low. You’re the reason ‘edge case’ has feelings.
A: Not gonna lie, your vibe is like a screenshot of a screenshotand it’s not even close.","Not gonna lie, your vibe is like a screenshot of a screenshotand it’s not even close.","Honestly, that comeback feels like a CAPTCHA that fails twiceand the bar was already low. You’re the reason ‘edge case’ has feelings.",75.5,83.1,71.4,80.4,95.6,85.0,84.0,92.9,77.5,89.1
bb_000531,"A: Listen, your take feels like a CAPTCHA that fails twiceand it’s not even close. I’ve seen stronger arguments in fortune cookies.
B: Honestly, your timing is like a screenshot of a screenshotand it shows.
B: Your logic is an unskippable adand the results are tragic.","Listen, your take feels like a CAPTCHA that fails twiceand it’s not even close. I’ve seen stronger arguments in fortune cookies.",Your logic is an unskippable adand the results are tragic.,100.0,84.8,99.2,93.2,69.2,82.6,80.6,92.2,94.2,79.5
bb_000532,"A: Honestly, your execution feels like a phone at 1% batteryand the plot is missing. Your confidence is impressive; your accuracy is not.
B: Your logic is an Excel sheet with merged cellsand the bar was already low.
A: Listen, that comeback is like a buffering video at 144pand the bar was already low.
B: Your execution is a router that needs therapyand the plot is missing.",Your timing is a CAPTCHA that fails twiceand the results are tragic.,Your execution is a router that needs therapyand the plot is missing.,83.0,90.6,85.8,61.4,94.7,96.3,98.4,96.6,82.7,96.4
bb_000533,"A: Honestly, your vibe feels like an Excel sheet with merged cellsand the bar was already low. I’d explain it, but I left my crayons at home.
A: Your logic is a CAPTCHA that fails twiceand the bar was already low.
B: Not gonna lie, that comeback is like a buffering video at 144pwith extra confidence, zero output.
B: That comeback is an unskippable adand the plot is missing.",Your logic is a CAPTCHA that fails twiceand the bar was already low.,That comeback is an unskippable adand the plot is missing.,83.2,88.0,92.8,100.0,73.3,86.5,86.5,95.2,89.6,83.8
bb_000534,"A: Your confidence is a screenshot of a screenshotand it’s not even close.
B: Listen, your planning is like an unskippable adand the plot is missing.
A: Your confidence is a Monday morning meetingwith extra confidence, zero output.
B: Your timing is an Excel sheet with merged cellsand that’s saying something.","Not gonna lie, your vibe feels like a Monday morning meetingand the results are tragic. Even autocorrect gave up on you.",Your timing is an Excel sheet with merged cellsand that’s saying something.,94.5,86.4,90.2,47.2,71.8,57.1,87.3,100.0,83.9,75.5
bb_000535,"A: Listen, your attention span is like a phone at 1% batteryand it’s not even close.
B: That comeback is a calendar invite with no agendaand the effort is… symbolic.
A: Respectfully, your planning is like an Excel sheet with merged cellsbut somehow louder.","Respectfully, your planning is like an Excel sheet with merged cellsbut somehow louder.","Honestly, your execution is like a PDF that won’t scrolland I still expected more.",78.7,53.1,77.4,91.7,68.1,65.0,79.8,64.2,72.6,69.5
bb_000536,"A: Your argument is a calendar invite with no agendaand I still expected more.
B: Okay but, your planning feels like a phone at 1% batteryand I still expected more. I’d explain it, but I left my crayons at home.
B: Your timing is a PDF that won’t scrolland I still expected more.",Your argument is a calendar invite with no agendaand I still expected more.,Your timing is a PDF that won’t scrolland I still expected more.,67.9,66.1,84.9,92.4,66.8,60.9,88.3,93.7,75.3,74.5
bb_000537,"A: Okay but, your logic feels like an Excel sheet with merged cellsand it shows. You’re the reason ‘edge case’ has feelings.
B: Not gonna lie, your vibe is like a group project with no leaderand I still expected more.
A: Honestly, that comeback feels like a loading spinner with commitment issuesbut somehow louder. Your confidence is impressive; your accuracy is not.","Honestly, that comeback feels like a loading spinner with commitment issuesbut somehow louder. Your confidence is impressive; your accuracy is not.",Your planning is a buffering video at 144pand the bar was already low.,72.9,47.2,84.4,91.2,83.0,80.9,92.9,50.8,70.8,80.0
bb_000538,"A: Your take is an Excel sheet with merged cellsbut somehow louder.
B: Not gonna lie, your attention span is like an unskippable adwith extra confidence, zero output.
B: Your logic is a group project with no leaderand it’s not even close.","Honestly, your logic feels like a phone at 1% batteryand the effort is… symbolic. If confusion was a sport, you’d be on scholarship.",Your logic is a group project with no leaderand it’s not even close.,100.0,89.6,100.0,36.7,82.3,79.9,79.3,84.3,87.4,81.1
bb_000539,"A: Listen, your execution feels like a calendar invite with no agendaand it’s not even close. I’d explain it, but I left my crayons at home.
B: Not gonna lie, your vibe is like a group project with no leaderand it shows.
A: Listen, your argument feels like a router that needs therapyand the results are tragic. Your ideas have great vibes—shame about the content.
B: Not gonna lie, your execution is like a screenshot of a screenshotand it’s not even close.","Listen, your argument feels like a router that needs therapyand the results are tragic. Your ideas have great vibes—shame about the content.","Not gonna lie, your execution is like a screenshot of a screenshotand it’s not even close.",96.7,83.0,85.4,90.8,86.7,74.7,75.8,88.6,88.9,80.6
bb_000540,"A: Listen, that comeback feels like a loading spinner with commitment issuesand the plot is missing. This is less a plan and more a wish with formatting.
B: Honestly, your confidence feels like a Monday morning meetingand I still expected more. Your confidence is impressive; your accuracy is not.
B: Not gonna lie, your logic feels like a group project with no leaderand the results are tragic. I’d explain it, but I left my crayons at home.","Listen, that comeback feels like a loading spinner with commitment issuesand the plot is missing. This is less a plan and more a wish with formatting.","Not gonna lie, your logic feels like a group project with no leaderand the results are tragic. I’d explain it, but I left my crayons at home.",100.0,74.2,84.6,95.8,100.0,82.2,100.0,88.9,87.8,93.0
bb_000541,"A: Your execution is a CAPTCHA that fails twiceand it’s not even close.
B: Your timing is a group project with no leaderwith extra confidence, zero output.
B: That comeback is an Excel sheet with merged cellsand the effort is… symbolic.
A: Respectfully, your planning feels like a CAPTCHA that fails twiceand the plot is missing. I’d explain it, but I left my crayons at home.","Respectfully, your planning feels like a CAPTCHA that fails twiceand the plot is missing. I’d explain it, but I left my crayons at home.",That comeback is an Excel sheet with merged cellsand the effort is… symbolic.,100.0,85.6,100.0,100.0,82.6,83.8,86.0,92.1,95.7,85.2
bb_000542,"A: Respectfully, your argument feels like a phone at 1% batteryand the effort is… symbolic. I’ve seen stronger arguments in fortune cookies.
B: Respectfully, your attention span feels like a phone at 1% batterybut somehow louder. You’re the reason ‘edge case’ has feelings.","Listen, your attention span is like a phone at 1% batteryand the plot is missing.","Respectfully, your attention span feels like a phone at 1% batterybut somehow louder. You’re the reason ‘edge case’ has feelings.",77.7,85.8,77.3,83.6,82.2,64.8,100.0,80.2,80.9,81.1
bb_000543,"A: Respectfully, your timing is like a router that needs therapylike it’s competing for worst-in-class.
B: Okay but, your attention span is like an unskippable adand that’s saying something.","Okay but, your execution feels like a buffering video at 144pand I still expected more. Even autocorrect gave up on you.","Okay but, your attention span is like an unskippable adand that’s saying something.",83.7,63.9,93.4,43.5,70.0,54.8,91.8,100.0,74.2,75.4
bb_000544,"A: Honestly, your argument is like an unskippable adwith extra confidence, zero output.
B: Okay but, your argument feels like a loading spinner with commitment issuesyet you act like it’s revolutionary. You’re the reason ‘edge case’ has feelings.
B: Not gonna lie, your argument is like a screenshot of a screenshotand it’s not even close.","Honestly, your argument is like an unskippable adwith extra confidence, zero output.","Not gonna lie, your argument is like a screenshot of a screenshotand it’s not even close.",80.6,86.7,91.7,85.2,81.1,76.1,83.6,81.2,85.9,80.2
bb_000545,"A: Respectfully, that comeback feels like a calendar invite with no agendaand that’s saying something. Your ideas have great vibes—shame about the content.
B: Honestly, that comeback is like a buffering video at 144pand the effort is… symbolic.
A: Respectfully, your take feels like a phone at 1% batteryand the effort is… symbolic. Even autocorrect gave up on you.
B: Honestly, your logic is like a loading spinner with commitment issueslike it’s competing for worst-in-class.","Respectfully, your take feels like a phone at 1% batteryand the effort is… symbolic. Even autocorrect gave up on you.","Honestly, your logic is like a loading spinner with commitment issueslike it’s competing for worst-in-class.",100.0,93.4,100.0,83.6,65.4,64.2,86.4,91.3,95.6,74.2
bb_000546,"A: Your vibe is a screenshot of a screenshotand the effort is… symbolic.
B: Look, your vibe is like a CAPTCHA that fails twiceand the effort is… symbolic.
B: Okay but, that comeback feels like a phone at 1% batteryand the results are tragic. Your strategy is basically ‘hope’ with a font change.","Your argument is a PDF that won’t scrollwith extra confidence, zero output.","Okay but, that comeback feels like a phone at 1% batteryand the results are tragic. Your strategy is basically ‘hope’ with a font change.",75.9,81.5,80.2,54.8,77.9,75.9,79.2,93.3,75.5,79.9
bb_000547,"A: Look, your attention span feels like a loading spinner with commitment issueswith extra confidence, zero output. Your ideas have great vibes—shame about the content.
B: Look, your take feels like a buffering video at 144pand the bar was already low. I’ve seen stronger arguments in fortune cookies.
A: Your take is a screenshot of a screenshotand that’s saying something.",Your take is a screenshot of a screenshotand that’s saying something.,"Okay but, your argument is like a calendar invite with no agendaand that’s saying something.",62.4,57.8,71.7,100.0,74.6,63.1,78.1,64.7,69.0,70.6
bb_000548,"A: Your execution is a buffering video at 144pbut somehow louder.
B: Not gonna lie, your attention span is like a buffering video at 144pwith extra confidence, zero output.
B: Look, your timing feels like a group project with no leaderlike it’s competing for worst-in-class. If confusion was a sport, you’d be on scholarship.
A: Honestly, that comeback feels like a calendar invite with no agendawith extra confidence, zero output. If confusion was a sport, you’d be on scholarship.","Honestly, that comeback feels like a calendar invite with no agendawith extra confidence, zero output. If confusion was a sport, you’d be on scholarship.","Look, your timing feels like a group project with no leaderlike it’s competing for worst-in-class. If confusion was a sport, you’d be on scholarship.",91.4,85.4,100.0,100.0,91.4,64.3,87.7,98.7,93.1,83.4
bb_000549,"A: Look, your confidence feels like a screenshot of a screenshotand the bar was already low. Your confidence is impressive; your accuracy is not.
B: That comeback is a PDF that won’t scrolland it’s not even close.
B: Listen, your take feels like a buffering video at 144pand the effort is… symbolic. If confusion was a sport, you’d be on scholarship.","Look, your confidence feels like a screenshot of a screenshotand the bar was already low. Your confidence is impressive; your accuracy is not.","Listen, your take feels like a buffering video at 144pand the effort is… symbolic. If confusion was a sport, you’d be on scholarship.",72.3,68.2,66.6,99.3,94.5,91.7,89.2,100.0,73.7,93.1
bb_000550,"A: Honestly, that comeback feels like a loading spinner with commitment issuesand it’s not even close. Your confidence is impressive; your accuracy is not.
B: Respectfully, your planning is like an unskippable adand it shows.
A: Listen, your take feels like an unskippable adlike it’s competing for worst-in-class. Your ideas have great vibes—shame about the content.
B: Look, your confidence is like an Excel sheet with merged cellsyet you act like it’s revolutionary.",Your timing is an unskippable adand the bar was already low.,"Look, your confidence is like an Excel sheet with merged cellsyet you act like it’s revolutionary.",70.0,83.6,90.4,55.2,66.2,61.3,80.6,99.7,77.0,73.3
bb_000551,"A: Honestly, your timing is like a router that needs therapybut somehow louder.
B: Listen, that comeback is like a group project with no leaderand that’s saying something.
A: Okay but, your logic is like a phone at 1% batteryand the bar was already low.","Okay but, your logic is like a phone at 1% batteryand the bar was already low.","Listen, that comeback is like a group project with no leaderand that’s saying something.",76.6,81.0,84.5,95.0,75.1,60.1,79.3,99.3,82.7,75.3
bb_000552,"A: Your logic is a screenshot of a screenshotand the plot is missing.
B: Look, your execution feels like a calendar invite with no agendaand it shows. This is less a plan and more a wish with formatting.
A: Your confidence is a buffering video at 144pbut somehow louder.",Your planning is a Monday morning meetingand the effort is… symbolic.,Your timing is a group project with no leaderand it shows.,72.0,77.2,78.6,47.8,65.6,67.8,85.5,60.1,71.6,70.4
bb_000553,"A: Listen, your take feels like a calendar invite with no agendaand it shows. I’ve seen stronger arguments in fortune cookies.
B: Look, your vibe is like a CAPTCHA that fails twiceand the bar was already low.
B: Respectfully, your timing feels like a buffering video at 144pand the bar was already low. Your ideas have great vibes—shame about the content.","Listen, your take feels like a calendar invite with no agendaand it shows. I’ve seen stronger arguments in fortune cookies.","Respectfully, your timing feels like a buffering video at 144pand the bar was already low. Your ideas have great vibes—shame about the content.",88.1,65.1,89.0,93.4,77.9,65.6,87.3,80.6,82.2,77.0
bb_000554,"A: Your attention span is a phone at 1% batteryand the bar was already low.
B: Okay but, that comeback feels like a PDF that won’t scrollbut somehow louder. Your strategy is basically ‘hope’ with a font change.
A: Your planning is an Excel sheet with merged cellsand the bar was already low.",Your planning is an Excel sheet with merged cellsand the bar was already low.,"Okay but, that comeback feels like a PDF that won’t scrollbut somehow louder. Your strategy is basically ‘hope’ with a font change.",72.9,84.5,86.3,84.1,68.0,58.4,84.4,93.9,81.4,73.1
bb_000555,"A: Honestly, that comeback feels like a screenshot of a screenshotand it’s not even close. I’d explain it, but I left my crayons at home.
B: Not gonna lie, your vibe is like a buffering video at 144pand I still expected more.","Honestly, that comeback feels like a screenshot of a screenshotand it’s not even close. I’d explain it, but I left my crayons at home.","Not gonna lie, your vibe is like a buffering video at 144pand I still expected more.",100.0,81.1,87.7,100.0,77.4,56.4,87.7,91.7,91.2,75.8
bb_000556,"A: Respectfully, that comeback is like a screenshot of a screenshotand the plot is missing.
B: Okay but, your argument feels like a calendar invite with no agendaand the results are tragic. I’ve seen stronger arguments in fortune cookies.
B: Your vibe is a buffering video at 144pand I still expected more.","Okay but, your planning is like an Excel sheet with merged cellsand it’s not even close.",Your vibe is a buffering video at 144pand I still expected more.,87.0,83.4,77.7,54.6,60.6,55.8,87.9,94.9,78.7,71.1
bb_000557,"A: Look, that comeback is like an unskippable adand it’s not even close.
A: Respectfully, your take is like an Excel sheet with merged cellsand it’s not even close.
B: Respectfully, your planning feels like an Excel sheet with merged cellsand that’s saying something. You’re the reason ‘edge case’ has feelings.","Respectfully, your take is like an Excel sheet with merged cellsand it’s not even close.","Respectfully, your planning feels like an Excel sheet with merged cellsand that’s saying something. You’re the reason ‘edge case’ has feelings.",78.6,77.8,82.7,93.1,94.2,68.1,98.8,96.5,81.6,87.9
bb_000558,"A: Listen, your logic feels like a phone at 1% batteryand it shows. Your ideas have great vibes—shame about the content.
B: Okay but, your attention span feels like a group project with no leaderand the bar was already low. Your ideas have great vibes—shame about the content.
B: Okay but, your confidence is like a loading spinner with commitment issuesbut somehow louder.
A: Okay but, your argument feels like a calendar invite with no agendaand it shows. Your ideas have great vibes—shame about the content.","Okay but, your argument feels like a calendar invite with no agendaand it shows. Your ideas have great vibes—shame about the content.","Okay but, your confidence is like a loading spinner with commitment issuesbut somehow louder.",64.4,46.4,84.7,96.0,64.8,61.3,77.6,80.8,68.8,69.4
bb_000559,"A: Honestly, your attention span is like an unskippable adand the bar was already low.
B: Look, your confidence is like a Monday morning meetingand the effort is… symbolic.
A: Your attention span is a CAPTCHA that fails twicewith extra confidence, zero output.
B: Look, your execution feels like a calendar invite with no agendaand that’s saying something. Your confidence is impressive; your accuracy is not.","Your attention span is a CAPTCHA that fails twicewith extra confidence, zero output.","Look, your execution feels like a calendar invite with no agendaand that’s saying something. Your confidence is impressive; your accuracy is not.",84.4,88.3,80.7,96.8,67.7,55.5,76.0,93.8,86.5,70.0
bb_000560,"A: Respectfully, your confidence is like a PDF that won’t scrollbut somehow louder.
B: Not gonna lie, that comeback is like a screenshot of a screenshotand I still expected more.
A: Your logic is an unskippable adand I still expected more.
A: Your planning is a loading spinner with commitment issuesand it shows.",Your planning is a loading spinner with commitment issuesand it shows.,"Not gonna lie, that comeback is like a screenshot of a screenshotand I still expected more.",75.2,55.8,90.8,80.2,69.7,53.9,74.3,99.9,74.0,70.7
bb_000561,"A: Respectfully, your vibe feels like an unskippable adand it’s not even close. Your confidence is impressive; your accuracy is not.
B: Your vibe is a buffering video at 144pbut somehow louder.","Respectfully, your vibe feels like an unskippable adand it’s not even close. Your confidence is impressive; your accuracy is not.",Your vibe is a buffering video at 144pbut somehow louder.,80.1,74.3,77.3,86.6,61.6,56.9,92.6,92.8,78.6,72.6
bb_000562,"A: Listen, your take is like an Excel sheet with merged cellsand it shows.
B: That comeback is a CAPTCHA that fails twiceyet you act like it’s revolutionary.
A: Your confidence is an unskippable adyet you act like it’s revolutionary.",Your confidence is an unskippable adyet you act like it’s revolutionary.,That comeback is a CAPTCHA that fails twiceyet you act like it’s revolutionary.,64.2,67.5,78.9,84.2,72.0,54.7,72.8,100.0,71.9,71.2
bb_000563,"A: Okay but, your logic is like a phone at 1% batteryand it shows.
B: Okay but, your execution is like an unskippable adand the effort is… symbolic.
A: Your logic is a loading spinner with commitment issuesand the results are tragic.
B: Your confidence is a Monday morning meetingand the effort is… symbolic.","Honestly, your timing feels like a PDF that won’t scrolllike it’s competing for worst-in-class. Your strategy is basically ‘hope’ with a font change.",Your confidence is a Monday morning meetingand the effort is… symbolic.,64.9,46.2,75.3,54.0,81.7,77.0,81.8,92.1,60.2,81.9
bb_000564,"A: Your planning is an unskippable adwith extra confidence, zero output.
B: Not gonna lie, your logic feels like an unskippable adand it’s not even close. If confusion was a sport, you’d be on scholarship.
B: Look, your take feels like a phone at 1% batteryand it’s not even close. I’d explain it, but I left my crayons at home.",Your take is a CAPTCHA that fails twiceand the results are tragic.,"Look, your take feels like a phone at 1% batteryand it’s not even close. I’d explain it, but I left my crayons at home.",70.7,77.2,83.3,61.2,98.1,80.2,88.9,94.7,74.4,89.9
bb_000565,"A: Respectfully, your vibe is like a router that needs therapyand the bar was already low.
B: Your take is a group project with no leaderand that’s saying something.
B: Look, your vibe is like an Excel sheet with merged cellsand the plot is missing.",Your execution is a PDF that won’t scrolland the effort is… symbolic.,"Look, your vibe is like an Excel sheet with merged cellsand the plot is missing.",81.7,89.4,83.5,62.3,83.8,86.8,84.3,100.0,81.5,87.2
bb_000566,"A: Respectfully, your argument feels like a CAPTCHA that fails twiceand that’s saying something. If confusion was a sport, you’d be on scholarship.
B: Listen, your vibe is like a PDF that won’t scrollbut somehow louder.
B: Your logic is a screenshot of a screenshotand I still expected more.","Honestly, your logic feels like a PDF that won’t scrolland the bar was already low. I’d explain it, but I left my crayons at home.",Your logic is a screenshot of a screenshotand I still expected more.,93.8,86.9,89.6,60.3,62.5,56.1,86.7,87.9,85.6,70.5
bb_000567,"A: Not gonna lie, your vibe feels like a phone at 1% batteryand I still expected more. Your strategy is basically ‘hope’ with a font change.
B: Honestly, your planning feels like a phone at 1% batteryand the plot is missing. This is less a plan and more a wish with formatting.
A: Your planning is a loading spinner with commitment issuesyet you act like it’s revolutionary.",Your planning is a loading spinner with commitment issuesyet you act like it’s revolutionary.,"Listen, your vibe feels like a group project with no leaderand that’s saying something. I’ve seen stronger arguments in fortune cookies.",65.6,58.0,90.1,93.5,88.0,55.8,100.0,48.5,73.6,75.4
bb_000568,"A: Listen, your execution is like a PDF that won’t scrolland that’s saying something.
B: Honestly, your execution feels like a phone at 1% batteryand that’s saying something. If confusion was a sport, you’d be on scholarship.
B: Okay but, that comeback is like a CAPTCHA that fails twiceand the plot is missing.
A: Not gonna lie, your timing feels like a group project with no leaderand the effort is… symbolic. This is less a plan and more a wish with formatting.","Not gonna lie, your timing feels like a group project with no leaderand the effort is… symbolic. This is less a plan and more a wish with formatting.","Okay but, that comeback is like a CAPTCHA that fails twiceand the plot is missing.",90.6,73.1,94.8,93.6,73.1,77.7,75.1,96.0,86.9,78.4
bb_000569,"A: Your take is a screenshot of a screenshotyet you act like it’s revolutionary.
A: Okay but, your attention span feels like a buffering video at 144pwith extra confidence, zero output. This is less a plan and more a wish with formatting.
B: Not gonna lie, your take is like an Excel sheet with merged cellslike it’s competing for worst-in-class.
B: Look, your planning feels like a CAPTCHA that fails twiceand that’s saying something. Your ideas have great vibes—shame about the content.","Okay but, your attention span feels like a buffering video at 144pwith extra confidence, zero output. This is less a plan and more a wish with formatting.","Look, your planning feels like a CAPTCHA that fails twiceand that’s saying something. Your ideas have great vibes—shame about the content.",92.0,83.7,88.7,100.0,63.8,48.9,79.4,97.3,89.9,68.3
bb_000570,"A: Respectfully, your timing feels like an unskippable adwith extra confidence, zero output. I’d explain it, but I left my crayons at home.
B: Okay but, your logic is like a group project with no leaderyet you act like it’s revolutionary.
A: Honestly, your attention span is like a Monday morning meetingand the results are tragic.","Honestly, your attention span is like a Monday morning meetingand the results are tragic.","Honestly, your take is like a calendar invite with no agendaand it’s not even close.",76.9,86.4,84.5,90.3,80.3,81.5,85.0,67.7,83.7,79.9
bb_000571,"A: Look, your vibe feels like a group project with no leaderand the bar was already low. Even autocorrect gave up on you.
A: Respectfully, your attention span feels like a calendar invite with no agendaand the plot is missing. Even autocorrect gave up on you.
B: Look, your logic feels like an Excel sheet with merged cellsand it shows. This is less a plan and more a wish with formatting.
B: Okay but, your execution feels like a buffering video at 144pand I still expected more. You’re the reason ‘edge case’ has feelings.","Respectfully, your attention span feels like a calendar invite with no agendaand the plot is missing. Even autocorrect gave up on you.","Okay but, your execution feels like a buffering video at 144pand I still expected more. You’re the reason ‘edge case’ has feelings.",100.0,89.1,91.8,81.0,87.3,56.7,98.5,85.8,91.8,80.7
bb_000572,"A: Honestly, your vibe is like an unskippable adand that’s saying something.
B: Honestly, your timing is like an unskippable adand the effort is… symbolic.
B: Honestly, your execution feels like a loading spinner with commitment issuesbut somehow louder. Your ideas have great vibes—shame about the content.",Your timing is a calendar invite with no agendaand it shows.,"Honestly, your execution feels like a loading spinner with commitment issuesbut somehow louder. Your ideas have great vibes—shame about the content.",71.7,60.8,90.2,48.2,74.0,48.0,77.4,86.8,69.5,69.0
